1939,"MOLINOS","A","A","680",0
1940,"ORAN","A","A","720",0
1941,"RIVADAVIA","A","A","760",0
1942,"R DE LA FRONTERA","A","A","800",0
1943,"ROSARIO DE LERMA","A","A","840",0
1944,"SAN CARLOS","A","A","880",0
1945,"SANTA VICTORIA","A","A","920",0
1946,"ALBARDON","J","J","050",0
1947,"ANGACO","J","J","100",0
1948,"CALINGASTA","J","J","150",0
1949,"CAPITAL","J","J","200",0
1950,"CAPITAL - 2","J","J","240",0
1951,"CAUCETE","J","J","250",0
1952,"CHIMBAS","J","J","300",0
1953,"IGLESIA","J","J","350",0
1954,"JACHAL","J","J","400",0
1955,"NUEVE DE JULIO","J","J","450",0
1956,"POCITO","J","J","500",0
1957,"RAWSON","J","J","550",0
1958,"RIVADAVIA","J","J","600",0
1959,"SAN MARTIN","J","J","650",0
1960,"SANTA LUCIA","J","J","700",0
1961,"SARMIENTO","J","J","750",0
1962,"ULLUN","J","J","800",0
1963,"VALLE FERTIL","J","J","850",0
1964,"VEINTICINCO DE MAYO","J","J","900",0
1965,"ZONDA","J","J","950",0
1966,"AYACUCHO","D","D","100",0
1967,"BELGRANO","D","D","200",0
1968,"CHACABUCO","D","D","300",0
1969,"GENERAL PEDERNERA","D","D","400",0
1970,"GOB VICENTE DUPUY","D","D","500",0
1971,"JUNIN","D","D","600",0
1972,"LA CAPITAL","D","D","700",0
1973,"PRINGLES","D","D","800",0
1974,"SAN MARTIN","D","D","900",0
1975,"CORPEN AIKE","Z","Z","130",0
1976,"DESEADO","Z","Z","260",0
1977,"GUER AIKE","Z","Z","390",0
1978,"LAGO ARGENTINO","Z","Z","520",0
1979,"LAGO BUENOS AIRES","Z","Z","650",0
1980,"MAGALLANES","Z","Z","780",0
1981,"RIO CHICO","Z","Z","910",0
1982,"BELGRANO","S","S","050",0
1983,"CASEROS","S","S","100",0
1984,"CASTELLANOS","S","S","150",0
1985,"CONSTITUCION","S","S","200",0
1986,"GARAY","S","S","250",0
1987,"GENERAL LOPEZ","S","S","300",0
1988,"GENERAL OBLIGADO","S","S","350",0
1989,"IRIONDO","S","S","400",0
1990,"LA CAPITAL","S","S","450",0
1991,"LAS COLONIAS","S","S","500",0
1992,"NUEVE DE JULIO","S","S","550",0
1993,"ROSARIO","S","S","600",0
1994,"SAN CRISTOBAL","S","S","650",0
1995,"SAN JAVIER","S","S","700",0
1996,"SAN JERONIMO","S","S","750",0
1997,"SAN JUSTO","S","S","800",0
1998,"SAN LORENZO","S","S","850",0
1999,"SAN MARTIN","S","S","900",0
2000,"VERA","S","S","950",0
2001,"AGUIRRE","G","G","035",0
2002,"ALBERDI","G","G","070",0
2003,"ATAMISQUI","G","G","105",0
2004,"AVELLANEDA","G","G","140",0
2005,"BANDA","G","G","175",0
2006,"BELGRANO","G","G","210",0
2007,"CAPITAL","G","G","245",0
2008,"COPO","G","G","280",0
2009,"CHOYA","G","G","315",0
2010,"FIGUEROA","G","G","350",0
2011,"GENERAL TABOADA","G","G","385",0
2012,"GUASAYAN","G","G","420",0
2013,"JIMENEZ","G","G","455",0
2014,"LORETO","G","G","490",0
2015,"JUAN F IBARRA","G","G","526",0
2016,"MITRE","G","G","560",0
2017,"MORENO","G","G","595",0
2018,"OJO DE AGUA","G","G","630",0
2019,"PELLEGRINI","G","G","665",0
2020,"QUEBRACHOS","G","G","700",0
2021,"RIO HONDO","G","G","735",0
2022,"RIVADAVIA","G","G","770",0
2023,"ROBLES","G","G","805",0
2024,"SALAVINA","G","G","840",0
2025,"SAN MARTIN","G","G","875",0
2026,"SARMIENTO","G","G","910",0
2027,"SILIPICA","G","G","945",0
2028,"BURRUYACU","T","T","090",0
2029,"CAPITAL","T","T","180",0
2030,"CRUZ ALTA","T","T","270",0
2031,"CHICLIGASTA","T","T","360",0
2032,"FAMAILLA","T","T","450",0
2033,"GRANEROS","T","T","540",0
2034,"JUAN B. ALBERDI","T","T","550",0
2035,"LA COCHA","T","T","629",0
2036,"LEALES","T","T","630",0
2037,"LULES","T","T","719",0
2038,"MONTEROS","T","T","720",0
2039,"RIO CHICO","T","T","810",0
2040,"SIMOCA","T","T","811",0
2041,"TAFI DEL VALLE","T","T","901",0
2042,"TAFI VIEJO","T","T","902",0
2043,"YERBA BUENA","T","T","903",0
2044,"TRANCAS","T","T","990",0
2045,"BAHIA THETIS","V","V","300",0
2046,"RIO GRANDE","V","V","350",0
2047,"SAN SEBASTIAN","V","V","600",0
2048,"USHUAIA","V","V","900",0
